source,target,distance,rank,vegan,raupcrick,phy
Daito,Zamami,390.862922,11,0.2165,-0.79,132.9831529
Hateruma,Hatoma,43.844489,8,0.0001,-1,132.1168041
Hateruma,Ie,493.374133,24,0.0001,-1,132.4461713
Hateruma,Iheya,524.540359,27,0.0001,-1,134.6309656
Hateruma,Ikema,173.104558,13,0.0001,-1,133.0395795
Hateruma,Iriomote,21.496824,2,0.1345,-0.92,134.325508
Hateruma,Ishigaki,45.237874,9,0.0645,-1,134.7411129
Hateruma,Izena,518.635705,26,0.0001,-1,132.1774086
Hateruma,Kamiyama,448.213598,22,0.6025,-0.05,131.2059263
Hateruma,Kohama,32.695725,6,0.0001,-1,133.7517253
Hateruma,Kudaka,471.442805,23,0.0001,-1,132.0826487
Hateruma,Kume,386.835345,15,0.0001,-1,134.1652465
Hateruma,Kuro,26.21699,5,0.0001,-1,134.8109135
Hateruma,Miyako,158.321687,12,0.0785,-0.97,134.7485154
Hateruma,Nakanougan,23.687317,4,0.0013,-1,133.1334792
Hateruma,Okinawa,447.887922,21,0.5159,-1,134.1919929
Hateruma,Osumi,947.144427,31,0.03,-0.97,133.9415856
Hateruma,Panari,19.963212,1,0.0001,-1,132.0140732
Hateruma,Senkaku,183.915357,14,0.0001,-1,133.0502262
Hateruma,Taketomi,38.853324,7,0.0001,-1,133.9143692
Hateruma,Tarama,108.666402,11,0.0001,-1,132.371117
Hateruma,Tokashiki,423.817911,19,0.0003,-1,133.3401943
Hateruma,Takora,734.818743,29,0.0001,-1,132.5681333
Hateruma,Tonaki,418.903909,16,0.0001,-1,132.0420176
Hateruma,Yagaji,509.747229,25,0.0001,-1,133.3815738
Hateruma,Yonaguni,84.387652,10,0.0801,-0.97,134.7943196
Hateruma,Zamami,423.739394,18,0.0001,-1,132.0826487
Hatoma,Ie,465.937335,24,0.0001,-1,130.8389287
Hatoma,Iheya,495.889428,27,0.0001,-1,133.7166297
Hatoma,Ikema,150.993017,14,0.0001,-1,131.9311654
Hatoma,Iriomote,4.914423,1,0.0052,-1,133.2522348
Hatoma,Ishigaki,24.935733,3,0.0647,-1,133.6769041
Hatoma,Izena,490.665478,26,0.0001,-1,130.8544876
Hatoma,Kamiyama,423.311367,21,0.3454,-0.54,128.1781843
Hatoma,Kohama,19.134686,2,0.0001,-1,132.3101684
Hatoma,Kudaka,448.845011,23,0.0001,-1,130.6654633
Hatoma,Kume,357.070613,15,0.0001,-1,133.0244974
Hatoma,Kuro,29.423369,6,0.0001,-1,133.6183344
Hatoma,Miyako,138.062148,12,0.0144,-1,133.9306253
Hatoma,Nakanougan,39.219049,8,0.0012,-1,132.011536
Hatoma,Okinawa,425.040386,22,0.5242,-1,133.0324969
Hatoma,Osumi,912.013981,31,0.0092,-0.99,132.8546708
Hatoma,Panari,29.149013,5,0.0001,-1,130.4453076
Hatoma,Senkaku,140.189523,13,0.0001,-1,131.9530735
Hatoma,Taketomi,29.684837,7,0.0001,-1,132.460304
Hatoma,Tarama,87.858613,11,0.0001,-1,130.9524374
Hatoma,Tokashiki,399.113197,19,0.0001,-1,132.3326809
Hatoma,Takora,701.383428,29,0.0001,-1,131.4827607
Hatoma,Tonaki,390.919098,16,0.0001,-1,130.5725295
Hatoma,Yagaji,483.683412,25,0.0001,-1,132.3218641
Hatoma,Yonaguni,77.930938,10,0.0801,-0.97,134.0208116
Hatoma,Zamami,398.076704,18,0.0001,-1,130.6654633
Ie,Iheya,29.376128,4,0.0006,-1,132.4695248
Ie,Ikema,318.968078,16,0.0001,-1,132.7013601
Ie,Iriomote,462.502835,23,0.3328,-0.65,131.2025509
Ie,Ishigaki,414.515726,19,0.1621,-0.93,131.5433136
Ie,Izena,20.3299,3,0.0001,-1,130.6109773
Ie,Kamiyama,48.037044,5,0.7605,0.29,129.9328119
Ie,Kohama,459.80602,22,0.0001,-1,131.5077677
Ie,Kudaka,53.01275,7,0.0001,-1,130.1033959
Ie,Kume,90.497377,13,0.0001,-1,132.0075071
Ie,Kuro,463.434263,24,0.0001,-1,132.2926914
Ie,Miyako,315.388943,15,0.2916,-0.74,131.9717779
Ie,Nakanougan,504.613862,30,0.0338,-0.97,133.6209546
Ie,Okinawa,3.331365,1,0.4406,-1,130.4356547
Ie,Osumi,465.447746,25,0.071,-0.94,132.5016648
Ie,Panari,472.823853,28,0.0001,-1,130.6356442
Ie,Senkaku,414.825943,20,0.0001,-1,131.5853357
Ie,Taketomi,452.204457,21,0.0001,-1,131.8363585
Ie,Tarama,374.420693,18,0.0001,-1,131.4436897
Ie,Tokashiki,63.124979,8,0.0001,-1,131.0496482
Ie,Takora,255.158091,14,0.0001,-1,131.7878328
Ie,Tonaki,70.251157,11,0.0001,-1,130.3999192
Ie,Yagaji,17.015356,2,0.0001,-1,131.6675691
Ie,Yonaguni,534.540234,31,0.0314,-0.99,131.7463033
Ie,Zamami,65.539672,9,0.0001,-1,130.1033959
Iheya,Ikema,350.753111,17,0.0001,-1,133.9446109
Iheya,Iriomote,493.04826,24,0.1303,-0.89,131.699714
Iheya,Ishigaki,445.151256,21,0.0162,-1,131.9320263
Iheya,Izena,2.23552,1,0.0001,-1,133.193819
Iheya,Kamiyama,86.602366,7,0.8983,0.6,136.0886049
Iheya,Kohama,490.524373,23,0.0001,-1,132.8477324
Iheya,Kudaka,88.802273,8,0.0001,-1,132.8533732
Iheya,Kume,120.069932,13,0.0002,-1,133.1890158
Iheya,Kuro,494.522327,25,0.0001,-1,133.1763361
Iheya,Miyako,347.389209,16,0.0004,-1,132.0250744
Iheya,Nakanougan,534.930336,30,0.1508,-0.85,138.0147713
Iheya,Okinawa,29.204124,2,0.2265,-1,131.4318691
