source,target,distance,rank,vegan,raupcrick,phy
Tonaki,Okinawa,50.453032,12,0.5388,-1,132.1313484
Tonaki,Yagaji,89.148222,10,0.0001,-1,131.8807517
Tonaki,Ie,70.251157,11,0.0001,-1,130.3999192
Tonaki,Aguni,22.159837,1,0.0001,-1,132.7825395
Tonaki,Kume,16.041612,1,0.0001,-1,132.5514119
Tonaki,Kamiyama,39.271616,6,0.5656,-0.12,129.0276263
Tonaki,Zamami,18.346052,2,0.0001,-1,130.1969282
Tonaki,Aka,19.814427,3,0.0001,-1,130.3728008
Tonaki,Tokashiki,24.206319,4,0.0001,-1,131.5739786
Tonaki,Kudaka,75.404917,8,0.0001,-1,130.1969282
Tonaki,Daito,409.470963,14,0.2641,-0.73,133.676028
Tonaki,Senkaku,344.086774,16,0.0001,-1,131.7755034
Tonaki,Ikema,245.042303,16,0.0001,-1,132.0391669
Tonaki,Miyako,241.72061,17,0.0962,-0.97,133.1493831
Tonaki,Tarama,299.747809,16,0.0001,-1,131.0339192
Tonaki,Ishigaki,339.72167,16,0.2869,-0.85,132.9742728
Tonaki,Hatoma,390.919098,16,0.0001,-1,130.5725295
Tonaki,Yonaguni,459.517955,30,0.0151,-1,133.1300279
Tonaki,Iriomote,387.675453,16,0.0058,-1,132.514418
Tonaki,Kohama,385.060884,16,0.0001,-1,132.0954138
Tonaki,Taketomi,377.602568,16,0.0001,-1,132.289885
Tonaki,Kuro,388.907182,16,0.0001,-1,133.2026522
Tonaki,Aragusuku,395.342727,16,0.0001,-1,130.5003862
Tonaki,Panari,398.225529,16,0.0001,-1,130.5003862
Tonaki,Nakanougan,429.70123,16,0.004,-1,132.5781587
Tonaki,Hateruma,418.903909,16,0.0001,-1,132.0420176
Kume,Osumi,550.397616,31,0.0127,-0.99,133.6526223
Kume,Takora,336.90301,19,0.0001,-1,133.5303043
Kume,Amami,163.969609,14,0.1127,-0.91,133.046598
Kume,Iheya,120.069932,13,0.0002,-1,133.1890158
Kume,Izena,114.749234,13,0.0001,-1,132.5011403
Kume,Okinawa,72.316611,7,0.7606,-0.28,131.5712214
Kume,Yagaji,110.806585,10,0.0001,-1,133.3330058
Kume,Ie,90.497377,13,0.0001,-1,132.0075071
Kume,Aguni,36.374067,2,0.0001,-1,133.1445825
Kume,Tonaki,16.041612,1,0.0001,-1,132.5514119
Kume,Kamiyama,61.327644,10,0.8839,0.61,133.5861332
Kume,Zamami,37.121092,3,0.0001,-1,132.3268182
Kume,Aka,37.248578,6,0.0001,-1,132.1910679
Kume,Tokashiki,44.106824,5,0.0001,-1,132.2563998
Kume,Kudaka,97.175847,12,0.0001,-1,132.3268182
Kume,Daito,431.941157,15,0.0975,-0.92,132.7813645
Kume,Senkaku,305.667901,17,0.0001,-1,133.4585601
Kume,Ikema,214.883368,14,0.0001,-1,134.2322705
Kume,Miyako,212.13611,14,0.3012,-0.71,132.6906117
Kume,Tarama,267.454642,16,0.0001,-1,133.4110455
Kume,Ishigaki,306.930864,15,0.7033,-0.05,132.4934145
Kume,Hatoma,357.070613,15,0.0001,-1,133.0244974
Kume,Yonaguni,424.004604,29,0.1387,-0.9,132.5279704
Kume,Iriomote,354.671738,15,0.2954,-0.68,132.3133752
Kume,Kohama,352.323334,15,0.0001,-1,132.8324461
Kume,Taketomi,345.287471,20,0.0001,-1,133.1962616
Kume,Kuro,356.761046,23,0.0001,-1,133.0215937
Kume,Aragusuku,362.957445,15,0.0001,-1,132.7578626
Kume,Panari,365.875616,26,0.0001,-1,132.7578626
Kume,Nakanougan,396.323764,28,0.0569,-0.95,136.0586571
Kume,Hateruma,386.835345,15,0.0001,-1,134.1652465
Kamiyama,Osumi,521.965819,31,0.9591,0.82,131.9987743
Kamiyama,Takora,312.333644,16,0.6437,0.03,127.1619508
Kamiyama,Amami,117.864247,8,0.9997,1,137.1718554
Kamiyama,Iheya,86.602366,7,0.8983,0.6,136.0886049
Kamiyama,Izena,77.391446,7,0.6404,0.03,129.706392
Kamiyama,Okinawa,6.876438,1,0.9997,0.97,135.7207971
Kamiyama,Yagaji,59.762014,9,0.8698,0.55,133.1279015
Kamiyama,Ie,48.037044,5,0.7605,0.29,129.9328119
Kamiyama,Aguni,45.53596,6,0.9078,0.66,135.1392569
Kamiyama,Tonaki,39.271616,6,0.5656,-0.12,129.0276263
Kamiyama,Kume,61.327644,10,0.8839,0.61,133.5861332
Kamiyama,Zamami,20.973943,3,0.6045,-0.05,129.5487405
Kamiyama,Aka,25.912939,4,0.6746,0.09,130.6217745
Kamiyama,Tokashiki,17.226444,2,0.7988,0.31,134.3223884
Kamiyama,Kudaka,31.822545,5,0.6084,-0.05,129.5487405
Kamiyama,Daito,366.220424,8,0.9896,0.93,137.7508877
Kamiyama,Senkaku,387.203317,20,0.6754,0.09,129.95306
Kamiyama,Ikema,273.25663,21,0.7055,0.16,131.5736456
Kamiyama,Miyako,269.222044,14,0.9979,0.98,136.9739944
Kamiyama,Tarama,330.316282,17,0.5679,-0.12,129.1822436
Kamiyama,Ishigaki,370.719454,21,0.9994,0.99,136.3227782
Kamiyama,Hatoma,423.311367,21,0.3454,-0.54,128.1781843
Kamiyama,Yonaguni,494.628627,30,0.9999,1,137.1786889
Kamiyama,Iriomote,418.684103,21,0.994,0.94,136.2378968
Kamiyama,Kohama,415.652023,22,0.6987,0.13,132.5761672
Kamiyama,Taketomi,407.553304,21,0.587,-0.15,131.9721427
Kamiyama,Kuro,418.524855,23,0.7707,0.3,134.4706031
Kamiyama,Aragusuku,425.273878,21,0.3759,-0.49,128.7110245
Kamiyama,Panari,428.109339,27,0.3756,-0.49,128.7110245
Kamiyama,Nakanougan,461.103961,29,0.0279,-0.98,120.835382
Kamiyama,Hateruma,448.213598,22,0.6025,-0.05,131.2059263
Zamami,Osumi,537.710878,14,0.0096,-0.99,132.6160092
Zamami,Takora,326.180021,13,0.0001,-1,131.4107301
Zamami,Amami,138.009673,11,0.3277,-0.65,133.2780632
Zamami,Iheya,101.331841,10,0.0001,-1,132.8533732
Zamami,Izena,93.097652,10,0.0001,-1,130.3523252
Zamami,Okinawa,30.593757,9,0.5202,-1,131.3994886
Zamami,Yagaji,80.582043,10,0.0001,-1,131.7664225
Zamami,Ie,65.539672,9,0.0001,-1,130.1033959
Zamami,Aguni,36.69632,3,0.0001,-1,132.5528937
Zamami,Tonaki,18.346052,2,0.0001,-1,130.1969282
Zamami,Kume,37.121092,3,0.0001,-1,132.3268182
Zamami,Kamiyama,20.973943,3,0.6045,-0.05,129.5487405
Zamami,Aka,0.594211,1,0.0001,-1,130.1240028
Zamami,Tokashiki,1.894221,1,0.0001,-1,131.2182498
Zamami,Kudaka,55.420093,6,0.0001,-1,129.9930621
Zamami,Daito,390.862922,11,0.2165,-0.79,132.9831529
Zamami,Senkaku,360.943203,19,0.0001,-1,131.5728233
Zamami,Ikema,248.866441,19,0.0001,-1,132.257634
Zamami,Miyako,245.012592,19,0.0799,-0.97,132.6224371
